,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SimplOverallQual,SimplOverallCond,SimplPoolQC,SimplGarageCond,SimplGarageQual,SimplFireplaceQu,SimplFunctional,SimplKitchenQual,SimplHeatingQC,SimplBsmtFinType1,SimplBsmtFinType2,SimplBsmtCond,SimplBsmtQual,SimplExterCond,SimplExterQual,OverallGrade,GarageGrade,ExterGrade,KitchenScore,FireplaceScore,GarageScore,PoolScore,SimplOverallGrade,SimplExterGrade,SimplPoolScore,SimplGarageScore,SimplFireplaceScore,SimplKitchenScore,TotalBath,AllSF,AllFlrsSF,AllPorchSF,HasMasVnr,BoughtOffPlan,OverallQual-s2,OverallQual-s3,OverallQual-Sq,AllSF-2,AllSF-3,AllSF-Sq,AllFlrsSF-2,AllFlrsSF-3,AllFlrsSF-Sq,GrLivArea-2,GrLivArea-3,GrLivArea-Sq,SimplOverallQual-s2,SimplOverallQual-s3,SimplOverallQual-Sq,ExterQual-2,ExterQual-3,ExterQual-Sq,GarageCars-2,GarageCars-3,GarageCars-Sq,TotalBath-2,TotalBath-3,TotalBath-Sq,KitchenQual-2,KitchenQual-3,KitchenQual-Sq,GarageScore-2,GarageScore-3,GarageScore-Sq
10,SC20,RL,70.0,11200,2,None,4,Lvl,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,0,3,906,1,0,134,1040,GasA,5,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,8,0,0,Detchd,1965.0,Unf,1,384,3,3,2,0,0,0,0,0,0,0,No,No,0,Feb,2008,WD,Normal,11.771443882099637,2,2,0,1,1,0,4,1,2,1,1,1,1,1,1,25,9,9,3,0,1152,0,4,1,0,384,0,1,2.0,2080,1040,0,0,0,25,125,2.23606797749979,4326400,8998912000,45.60701700396552,1081600,1124864000,32.2490309931942,1081600,1124864000,32.2490309931942,4,8,1.4142135623730951,9,27,1.7320508075688772,1,1,1.0,4.0,8.0,1.4142135623730951,9,27,1.7320508075688772,1327104,1528823808,33.94112549695428
11,SC60,RL,85.0,11924,2,None,3,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,0,6,998,1,0,177,1175,GasA,5,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,8,2,4,BuiltIn,2005.0,Fin,3,736,3,3,2,147,21,0,0,0,0,0,No,No,0,Jul,2006,New,Partial,12.75130259456002,3,2,0,1,1,2,4,2,2,2,1,1,2,1,2,45,9,15,5,8,2208,0,6,2,0,736,4,2,4.0,3499,2324,21,1,1,81,729,3.0,12243001,42838260499,59.15234568468101,5400976,12551868224,48.2078831727758,5400976,12551868224,48.2078831727758,9,27,1.7320508075688772,25,125,2.23606797749979,9,27,1.7320508075688772,16.0,64.0,2.0,25,125,2.23606797749979,4875264,10764582912,46.98936049788292
12,SC20,RL,0.0,12968,2,None,2,Lvl,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,0,5,737,1,0,175,912,GasA,3,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,8,0,0,Detchd,1962.0,Unf,1,352,3,3,2,140,0,0,0,176,0,0,No,No,0,Sep,2008,WD,Normal,11.87757552297847,2,2,0,1,1,0,4,1,1,2,1,1,1,1,1,30,9,9,3,0,1056,0,4,1,0,352,0,1,2.0,1824,912,176,0,0,25,125,2.23606797749979,3326976,6068404224,42.708313008125245,831744,758550528,30.199337741083,831744,758550528,30.199337741083,4,8,1.4142135623730951,9,27,1.7320508075688772,1,1,1.0,4.0,8.0,1.4142135623730951,9,27,1.7320508075688772,1115136,1177583616,32.49615361854384
13,SC20,RL,91.0,10652,2,None,3,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,2,1,0,1,0,1494,1494,GasA,5,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,8,1,4,Attchd,2006.0,RFn,3,840,3,3,2,160,33,0,0,0,0,0,No,No,0,Aug,2007,New,Partial,12.540761149388421,3,2,0,1,1,2,4,2,2,1,1,1,2,1,2,35,9,12,4,4,2520,0,6,2,0,840,2,2,2.0,2988,1494,33,1,1,49,343,2.6457513110645907,8928144,26677294272,54.662601474865795,2232036,3334661784,38.65229618017538,2232036,3334661784,38.65229618017538,9,27,1.7320508075688772,16,64,2.0,9,27,1.7320508075688772,4.0,8.0,1.4142135623730951,16,64,2.0,6350400,16003008000,50.19960159204453
14,SC20,RL,0.0,10920,2,None,3,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,0,4,733,1,0,520,1253,GasA,3,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,8,1,2,Attchd,1960.0,RFn,1,352,3,3,2,0,213,176,0,0,0,0,GdWo,No,0,May,2008,WD,Normal,11.964007453736912,2,2,0,1,1,1,4,1,1,2,1,1,1,1,1,30,9,9,3,2,1056,0,4,1,0,352,1,1,2.5,2506,1253,389,1,0,36,216,2.449489742783178,6280036,15737770216,50.05996404313531,1570009,1967221277,35.397740040855716,1570009,1967221277,35.397740040855716,4,8,1.4142135623730951,9,27,1.7320508075688772,1,1,1.0,6.25,15.625,1.5811388300841898,9,27,1.7320508075688772,1115136,1177583616,32.49615361854384
15,SC45,RM,51.0,6120,2,None,4,Lvl,4,Corner,3,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,832,832,GasA,5,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,8,0,0,Detchd,1991.0,Unf,2,576,3,3,2,48,112,0,0,0,0,0,GdPrv,No,0,Jul,2007,WD,Normal,11.790564777297387,3,3,0,1,1,0,4,1,2,1,1,1,1,1,1,56,9,9,3,0,1728,0,9,1,0,576,0,1,1.0,1686,854,112,0,0,49,343,2.6457513110645907,2842596,4792616856,41.060930335295616,729316,622835864,29.223278392404914,729316,622835864,29.223278392404914,9,27,1.7320508075688772,9,27,1.7320508075688772,4,8,1.4142135623730951,1.0,1.0,1.0,9,27,1.7320508075688772,2985984,5159780352,41.569219381653056
16,SC20,RL,0.0,11241,2,None,3,Lvl,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,0,5,578,1,0,426,1004,GasA,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,3,Attchd,1970.0,Fin,2,480,3,3,2,0,0,0,0,0,0,0,No,Shed,700,Mar,2010,WD,Normal,11.91170829631447,2,3,0,1,1,1,4,1,2,2,1,1,1,1,1,42,9,9,3,3,1440,0,6,1,0,480,1,1,2.0,2008,1004,0,1,0,36,216,2.449489742783178,4032064,8096384512,44.81071300481616,1008016,1012048064,31.68595903550972,1008016,1012048064,31.68595903550972,4,8,1.4142135623730951,9,27,1.7320508075688772,4,8,1.4142135623730951,4.0,8.0,1.4142135623730951,9,27,1.7320508075688772,2073600,2985984000,37.94733192202055
17,SC90,RL,72.0,10791,2,None,4,Lvl,4,Inside,3,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0,0,0,0,0,0,0,0,0,GasA,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,8,0,0,CarPort,1967.0,Unf,2,516,3,3,2,0,0,0,0,0,0,0,No,Shed,500,Oct,2006,WD,Normal,11.407576060361786,2,2,0,1,1,0,4,1,1,0,0,0,0,1,1,20,9,9,6,0,1548,0,4,1,0,516,0,2,2.0,1296,1296,0,0,0,16,64,2.0,1679616,2176782336,36.0,1679616,2176782336,36.0,1679616,2176782336,36.0,4,8,1.4142135623730951,9,27,1.7320508075688772,4,8,1.4142135623730951,4.0,8.0,1.4142135623730951,9,27,1.7320508075688772,2396304,3709478592,39.344631145812
18,SC20,RL,66.0,13695,2,None,4,Lvl,4,Inside,3,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,0,6,646,1,0,468,1114,GasA,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,8,0,0,Detchd,2004.0,Unf,2,576,3,3,2,0,102,0,0,0,0,0,No,No,0,Jun,2008,WD,Normal,11.976665770490767,2,2,0,1,1,0,4,2,2,2,1,1,1,1,1,25,9,9,4,0,1728,0,4,1,0,576,0,2,2.5,2228,1114,102,0,0,25,125,2.23606797749979,4963984,11059756352,47.20169488482379,1240996,1382469544,33.37663853655727,1240996,1382469544,33.37663853655727,4,8,1.4142135623730951,9,27,1.7320508075688772,4,8,1.4142135623730951,6.25,15.625,1.5811388300841898,16,64,2.0,2985984,5159780352,41.569219381653056
19,SC20,RL,70.0,7560,2,None,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3,3,0,2,504,1,0,525,1029,GasA,3,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,7,0,0,Attchd,1958.0,Unf,1,294,3,3,2,0,0,0,0,0,0,0,MnPrv,No,0,May,2009,COD,Abnorml,11.842236406331555,2,2,0,1,1,0,3,1,1,1,1,1,1,1,1,30,9,9,3,0,882,0,4,1,0,294,0,1,1.0,2368,1339,0,0,0,25,125,2.23606797749979,5607424,13278380032,48.662100242385755,1792921,2400721219,36.59234892706397,1792921,2400721219,36.59234892706397,4,8,1.4142135623730951,9,27,1.7320508075688772,1,1,1.0,1.0,1.0,1.0,9,27,1.7320508075688772,777924,686128968,29.698484809834994
20,SC60,RL,101.0,14215,2,None,3,Lvl,4,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,2,1,0,1,0,1158,1158,GasA,5,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,8,1,4,BuiltIn,2005.0,RFn,3,853,3,3,2,240,154,0,0,0,0,0,No,No,0,Nov,2006,New,Partial,12.692506186542177,3,2,0,1,1,2,4,2,2,1,1,1,2,1,2,40,9,12,4,4,2559,0,6,2,0,853,2,2,3.5,3534,2376,154,1,1,64,512,2.8284271247461903,12489156,44136677304,59.447455790807396,5645376,13413413376,48.744230427815765,5645376,13413413376,48.744230427815765,9,27,1.7320508075688772,16,64,2.0,9,27,1.7320508075688772,12.25,42.875,1.8708286933869707,16,64,2.0,6548481,16757562879,50.586559479766954
21,SC45,RM,57.0,7449,2,1,4,Bnk,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,0,1,0,1,0,637,637,GasA,5,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,8,1,4,Attchd,1930.0,Unf,1,280,3,3,0,0,0,205,0,0,0,0,GdPrv,No,0,Jun,2007,WD,Normal,11.845109950883979,3,3,0,1,1,2,4,2,2,1,1,1,1,1,1,49,9,9,4,4,840,0,9,1,0,280,2,2,1.0,1745,1108,205,0,0,49,343,2.6457513110645907,3045025,5313568625,41.773197148410844,1227664,1360251712,33.28663395418648,1227664,1360251712,33.28663395418648,9,27,1.7320508075688772,9,27,1.7320508075688772,1,1,1.0,1.0,1.0,1.0,16,64,2.0,705600,592704000,28.982753492378876
22,SC20,RL,75.0,9742,2,None,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,0,1,0,1,0,1777,1777,GasA,5,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,8,1,4,Attchd,2002.0,RFn,2,534,3,3,2,171,159,0,0,0,0,0,No,No,0,Sep,2008,WD,Normal,12.345838935721968,3,2,0,1,1,2,4,2,2,1,1,1,2,1,2,40,9,12,4,4,1602,0,6,2,0,534,2,2,2.0,3572,1795,159,1,0,64,512,2.8284271247461903,12759184,45575805248,59.76621118993574,3222025,5783534875,42.36744032862972,3222025,5783534875,42.36744032862972,9,27,1.7320508075688772,16,64,2.0,4,8,1.4142135623730951,4.0,8.0,1.4142135623730951,16,64,2.0,2566404,4111379208,40.024992192379
23,SC120,RM,44.0,4224,2,None,4,Lvl,4,Inside,3,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,0,6,840,1,0,200,1040,GasA,3,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,8,1,3,Attchd,1976.0,Unf,2,572,3,3,2,100,110,0,0,0,0,0,No,No,0,Jun,2007,WD,Normal,11.774527900858468,2,3,0,1,1,1,4,1,1,2,1,1,2,1,1,35,9,9,3,3,1716,0,6,1,0,572,1,1,2.0,2100,1060,110,0,0,25,125,2.23606797749979,4410000,9261000000,45.8257569495584,1123600,1191016000,32.55764119219941,1123600,1191016000,32.55764119219941,4,8,1.4142135623730951,9,27,1.7320508075688772,4,8,1.4142135623730951,4.0,8.0,1.4142135623730951,9,27,1.7320508075688772,2944656,5053029696,41.42463035441596
24,SC20,RL,0.0,8246,2,None,3,Lvl,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,1,3,188,5,668,204,1060,GasA,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,8,1,3,Attchd,1968.0,Unf,1,270,3,3,2,406,90,0,0,0,0,0,MnPrv,No,0,May,2010,WD,Normal,11.944714374881176,2,3,0,1,1,1,4,2,2,1,2,1,1,2,1,40,9,12,4,3,810,0,6,2,0,270,1,2,2.0,2120,1060,90,0,0,25,125,2.23606797749979,4494400,9528128000,46.04345773288535,1123600,1191016000,32.55764119219941,1123600,1191016000,32.55764119219941,4,8,1.4142135623730951,9,27,1.7320508075688772,1,1,1.0,4.0,8.0,1.4142135623730951,16,64,2.0,656100,531441000,28.460498941515414
